Name,CID,Affinity,Pose
Nepetin,5317284,-10.286,1
Nepitrin,120742,-10.251,1
Luteolin,5280445,-10.147,1
Quercetin,5280343,-10.126,1
Cynaroside,5280637,-10.113,1
Patulitrin,5320435,-9.711,1
Kaempferol,5280863,-9.604,1
Patuletin,5281678,-9.6,1
Isoorientin,114776,-9.446,1
Curcumin,969516,-8.854,1
Afzelin,5316673,-8.771,1
Nicotiflorin,5318767,-8.673,1
quercetin-3-rhamnoside,18604930,-8.628,1
Orientin,5281675,-8.025,1
Querciturone,5274585,-7.984,1
Isoquercetin,5280804,-7.851,1
patuletin-3-glucoside,11968829,-7.775,1
patuletin-3-rutinoside,70696487,-7.57,1
Astragalin,5282102,-7.501,1
Doxycycline,54671203,-6.389,1
